insee,beds_count
66017,195
90056,153
67348,300
43246,83
80279,90
67442,287
63473,298
17247,272
41258,72
52475,69
7242,73
46029,103
84122,462
30218,65
77147,104
9258,208
16224,76
21025,49
29042,67
77250,83
24290,32
31260,87
27476,155
77471,143
74153,735
77400,242
22234,75
27691,237
81004,419
66133,354
77373,3034
59198,42
70240,121
80435,73
59353,134
62358,702
85005,78
80335,81
92025,6796
72035,45
33125,134
29217,190
33387,115
51020,91
35108,142
12084,141
33501,71
14106,248
84025,205
84060,35
51353,40
67147,150
73250,105
85233,110
2495,221
91599,189
44204,477
35291,43
57529,246
5052,34
57333,212
64228,63
52295,56
38454,136
78172,1809
86195,84
72110,172
48185,45
65454,48
11309,56
87076,29
40083,56
9236,139
42037,186
77107,201
67229,205
36195,93
14645,192
13034,121
33159,102
52115,94
67034,241
14668,77
63296,112
38137,132
54135,45
68281,103
60205,90
47001,451
41106,50
82095,46
31113,574
17441,91
24544,94
41006,43
62666,1294
33498,80
25494,61
7231,210
38536,201
76507,253
62082,87
22349,123
24097,42
16378,65
11158,120
27212,94
81287,120
56232,146
9305,88
17210,46
22106,597
60669,567
83078,42
18172,95
8001,86
57003,38
12106,78
76464,235
87022,43
68044,109
55379,51
49200,164
16334,33
50493,248
85273,141
71512,126
8488,523
72165,142
51392,105
62047,74
58303,373
2367,440
61324,31
25433,105
67420,119
29061,1103
19186,49
42013,152
18126,45
57245,174
85083,49
10251,43
57067,939
37195,1250
1389,107
8489,50
34295,402
21689,71
61415,52
28195,234
50305,483
19251,50
54088,52
83081,209
37058,158
37262,72
41047,457
13003,217
64102,875
89111,48
26344,55
56245,42
14096,75
83146,50
56256,67
25370,371
32183,184
85049,47
28047,58
85102,108
40080,77
60700,458
22052,39
2472,74
25436,42
51195,128
91613,86
39297,119
28331,34
17032,149
17119,178
68270,1073
16034,62
15269,33
77235,223
37206,161
65338,66
2519,37
88016,30
40234,61
70026,88
3064,42
21096,34
63100,47
10150,58
84014,88
37211,124
16414,66
87172,56
27240,60
43046,268
77026,54
54269,327
7207,110
1125,52
14194,77
36026,35
42305,1563
6005,34
58047,31
38462,180
43114,134
61426,37
29295,218
83049,227
29173,87
53053,58
95394,976
85135,73
2543,50
61211,116
50451,162
41214,69
49347,170
77312,388
41045,92
61117,283
1188,143
38558,658
91671,393
50393,87
43216,54
13097,74
86174,251
59371,524
89060,84
50177,68
14250,227
67046,493
68171,75
13057,235
19053,76
47059,77
29275,53
73101,54
57489,91
88351,59
40330,63
59050,131
64005,164
6075,224
17154,124
35310,90
34183,132
62546,486
37173,29
2717,77
40068,119
67156,290
16280,113
78416,350
29152,93
79047,71
51469,70
31492,100
63221,47
7099,71
45239,63
88424,190
19076,57
27397,120
61017,39
59142,549
59019,379
10333,802
71490,117
89379,35
57095,363
62589,563
45335,78
83096,208
82169,200
40021,85
44115,176
12010,36
50619,86
76487,69
53247,103
73268,80
28033,77
76275,242
67463,136
86194,771
36200,82
45271,155
13015,1323
64070,132
60679,79
56236,81
87188,135
1228,72
27188,528
18263,37
76329,325
14497,128
11040,61
4227,39
71124,53
8440,40
32303,36
34069,126
61290,47
38282,111
53173,47
41109,52
64188,57
63174,74
72320,1073
68081,167
44086,66
90097,537
8203,68
3063,82
81136,44
44025,223
64079,35
8122,78
13026,758
22114,50
64087,126
34101,319
33051,201
83001,658
22229,58
35350,230
88224,46
1248,397
12031,88
1402,95
35208,454
46042,185
27622,179
93047,5608
38564,152
80530,96
16101,151
69037,88
4001,136
58222,49
67048,202
18289,55
31511,131
1277,177
16358,593
64261,140
56140,113
18179,99
22381,286
29143,194
54157,274
58302,76
26307,72
57676,73
17049,43
49113,143
10256,54
72052,98
32215,58
84020,139
33176,240
54472,65
84064,339
80042,47
55475,43
45080,72
6123,2690
77175,547
62049,270
38475,287
63238,51
71091,46
30084,408
68025,87
42002,69
12292,69
35016,132
32379,72
33310,39
27447,178
38405,180
46307,103
4242,231
3025,41
86119,34
76300,133
51300,40
31101,234
15010,48
23061,36
79184,72
72309,40
34305,33
88141,94
36102,45
24150,44
65460,110
29301,97
36210,73
83079,150
24061,46
87133,49
38399,102
56058,160
34210,182
14719,136
53098,73
16205,71
59223,83
33200,1156
9185,89
49221,60
79179,79
89232,72
17080,102
65125,93
87004,32
35311,127
82049,106
72243,103
57249,147
15224,45
85104,84
31277,245
22223,203
43203,79
35240,1575
38147,107
21644,79
44027,196
67070,100
40278,68
64057,60
74253,239
68161,587
86105,92
58072,68
54575,316
55552,57
72059,68
17299,315
40207,232
57573,61
29259,117
60049,86
76335,106
46232,68
21328,34
57634,1388
15096,34
79337,81
37125,48
1451,424
11413,58
62697,210
22279,62
35255,402
18020,114
72351,73
56252,122
61508,68
81073,90
27543,252
40087,29
30049,111
22282,90
8083,109
43238,46
24382,92
17099,56
73053,99
78668,146
88415,178
31385,37
76616,1131
76511,41
88348,62
50360,128
62031,540
27002,107
68119,114
28013,113
37181,37
46318,59
22205,85
18096,232
69268,1006
2414,65
57499,235
67365,2562
79351,114
21388,236
83037,194
24144,45
84082,129
56087,158
41081,36
5074,63
56207,89
34211,61
13082,163
45143,47
64211,84
55042,177
86224,52
60593,98
50084,156
28393,60
22008,233
53206,63
4206,84
45231,55
22361,216
44133,230
29296,161
27441,66
52069,34
64381,49
16395,68
91027,5099
56077,82
89345,91
52391,47
44067,67
30222,74
33207,404
77242,159
25293,187
65251,534
40143,40
8027,39
22228,65
89251,72
42118,136
84111,100
3028,51
24142,68
84119,987
47323,213
82189,49
36107,80
3256,42
21475,89
59641,215
32062,60
69005,727
62821,106
49345,61
25556,77
31145,117
63310,151
62030,86
28287,31
33422,92
60223,114
89391,94
38503,288
62325,90
44021,61
1456,126
42075,352
66104,100
45024,184
25099,41
36190,36
79119,49
1181,222
81099,179
9007,35
35276,132
7089,188
47050,59
71107,135
45097,81
73329,924
38267,122
34012,93
43180,40
6092,638
24225,258
56161,307
56234,37
26057,375
35202,132
78346,116
47013,70
35329,79
22165,104
83107,200
76216,1781
27319,96
9342,56
59168,250
61395,121
74036,179
69184,173
63196,82
59016,833
18011,67
33010,179
2035,65
