insee,beds_count
1116,103
13112,380
29196,175
83021,108
13017,120
63262,542
76142,78
61072,71
89024,335
25366,98
33514,45
25630,89
72181,1176
31576,171
88143,54
7066,172
34202,338
37039,40
28056,119
61078,190
33114,138
52120,40
76166,44
79351,102
1027,307
87096,75
71058,37
22277,114
37013,51
85104,76
27540,315
45288,63
8235,409
12241,306
8452,99
44067,71
69018,111
40028,58
41008,142
1433,56
61342,120
15046,43
57652,163
12136,113
85106,49
62393,604
71010,228
71522,91
36098,95
53251,150
76578,112
8331,172
67407,284
51037,104
57265,45
76331,155
71335,64
77371,278
66190,230
80497,39
49132,135
3192,27
81325,318
16059,34
55519,145
42046,165
54303,73
37236,141
49374,232
40018,101
78209,148
30093,82
38400,467
35203,204
22113,289
62714,640
22337,57
83111,274
8440,33
71356,206
58245,30
34308,97
53003,57
4063,107
7295,44
64216,129
61472,147
42294,291
22350,78
29078,77
18215,50
49332,237
26146,60
56081,54
53211,90
19115,75
47328,106
5031,30
59532,193
70210,50
31284,541
33011,203
25498,72
49023,212
29278,53
56017,107
54538,36
17481,96
23027,36
19222,44
60149,263
27543,374
72303,82
45129,74
12031,79
76169,121
59006,94
44223,219
61037,37
45127,130
24075,34
12074,29
76686,86
31433,3511
5060,40
73053,121
37282,39
63253,85
38083,116
70413,89
82047,49
77255,806
57751,1301
24104,110
33199,373
86106,79
24215,30
89460,146
50267,85
1379,309
40061,48
7268,154
33244,74
12033,80
79239,139
63383,28
59090,1751
73288,416
77048,264
64445,934
65271,140
51663,248
31104,175
41047,472
52141,155
77381,147
25191,483
25615,121
68008,227
56227,49
46056,44
4157,29
52045,208
77519,30
39193,63
49200,218
9043,101
57254,140
55049,84
62845,154
46154,33
60611,74
71583,418
64250,114
49021,264
29033,70
59384,100
38542,145
88076,57
40083,45
31182,1169
82113,52
87142,63
62751,145
55458,61
57669,644
23082,43
56242,53
39568,62
76092,252
89354,296
28155,53
33311,215
16034,64
63073,208
15250,62
24082,109
83139,52
5147,40
17154,105
21683,46
6091,476
45014,44
84020,137
39447,215
23061,36
80127,217
91479,4802
44222,172
8203,74
90041,189
32059,48
5018,262
87114,889
34036,151
91671,154
74097,179
17215,81
63423,43
76588,83
30220,99
87204,36
70429,211
87020,164
7231,231
40108,90
84019,277
82150,84
68368,194
81204,135
72004,68
62636,153
9277,50
88008,64
53054,440
79003,499
44050,230
62630,116
37047,143
32334,365
62014,164
57333,187
3088,35
28196,45
46318,52
52013,29
12250,27
73223,44
9268,88
76030,286
71303,120
33422,92
34245,62
21556,79
74222,424
51168,338
16150,223
7207,110
65414,96
43089,267
61404,72
64188,55
82051,120
45053,63
41280,173
39403,88
68315,260
7332,52
47027,224
83096,221
46060,34
3041,33
14168,61
58211,32
28158,320
50096,93
25454,859
37036,33
31359,42
63221,47
80482,55
48156,41
19278,393
6062,26
59382,133
39137,44
35300,195
8378,32
43246,80
71412,132
45269,293
88409,146
15087,32
48128,54
61362,143
54211,46
18207,114
76143,229
19061,208
57221,987
18109,33
30222,71
83062,547
46293,61
42078,34
81099,179
38045,381
83052,45
83134,418
77208,162
93046,4691
81070,129
78404,170
23083,30
35058,155
89014,30
26098,102
54028,412
53117,137
88434,92
35054,167
44182,289
22138,38
4013,106
53191,55
32330,50
57095,314
68185,169
88136,351
57627,123
69138,135
54369,239
90053,227
85197,120
41106,50
74198,821
17276,63
33348,56
49222,266
18172,95
91200,229
33214,27
42193,155
73176,61
78486,283
60517,349
39085,40
70511,35
41043,90
7095,73
3309,43
37234,53
4227,39
71520,186
44211,212
4086,29
41259,161
11180,83
47001,462
32303,34
44218,90
72255,50
7248,59
55475,37
74252,222
50493,207
51528,42
23193,134
10313,60
14194,97
68166,1085
27299,439
85047,208
59291,440
4149,61
80210,70
31498,38
41214,56
26338,109
14529,168
1130,154
79258,148
73014,291
82169,128
45229,57
35310,109
38158,1644
36189,48
85090,99
80795,132
10383,30
72018,88
19188,80
46088,199
36090,27
57461,58
31101,221
30084,443
7148,56
67147,136
38153,390
86062,287
40163,31
2269,97
37139,341
49086,122
92047,5958
89368,32
27631,70
40234,61
80602,113
63248,88
47067,107
37145,73
28275,155
67111,89
54068,33
18036,235
34044,78
14118,1279
86065,81
27043,74
22264,113
86284,82
86186,229
13056,421
69234,209
81293,87
77239,54
67471,2451
65440,539
18126,40
33363,284
42009,89
50455,56
54264,155
9090,36
50338,50
89415,71
83001,658
35246,171
4242,261
35079,430
80201,69
64369,50
56040,103
60538,77
71425,123
85301,159
30110,153
50084,156
22117,191
60320,107
21423,193
2258,75
64160,137
13057,235
27091,192
7321,343
42242,405
53184,54
56252,122
22083,69
77034,127
17463,280
24454,92
60171,115
31009,40
65191,86
22103,271
69013,596
57255,46
45166,109
72290,142
29075,1212
68011,235
16303,71
87022,43
29177,104
32263,53
48173,28
1012,69
1181,257
49163,101
35350,122
82173,55
3182,110
38172,577
2559,62
1023,141
80530,137
17334,40
10349,139
36162,34
18271,493
39368,96
63152,28
35176,121
2340,444
10262,51
56046,276
34276,129
33501,71
33324,125
21096,34
71201,44
59490,202
6152,2015
62463,61
52175,37
37231,60
2331,52
33512,50
89411,55
24507,42
30253,167
64496,1007
16377,59
22039,68
33100,117
59442,233
34143,626
38526,116
56206,634
62715,85
69112,706
85222,221
17080,142
37155,61
59668,130
40055,285
51299,107
38422,96
70576,31
30147,128
78143,709
4216,48
83027,346
42116,41
8417,51
26172,128
51369,62
67502,96
67378,377
2616,55
68344,88
77223,77
11181,165
87015,176
29296,211
63382,53
62727,781
49240,91
45316,49
49323,1146
61395,118
59655,101
3001,364
80806,77
64400,92
78208,1295
38426,247
87164,113
67553,219
21194,59
35041,127
81193,29
79019,37
54322,74
86217,31
83119,44
55109,58
26311,49
56226,105
17369,81
8363,78
24188,25
27180,167
13063,708
88479,55
76636,260
30126,90
16205,71
64272,62
79184,72
76664,108
37058,158
58265,35
19176,47
62450,124
23015,35
60497,101
14044,247
83011,64
57371,90
83071,436
41084,43
47013,58
72165,159
89393,60
82018,148
33310,39
73177,102
30195,37
74275,168
54394,143
29266,122
29291,54
27403,198
47241,49
45175,89
26180,105
24505,61
10167,26
71100,72
58222,49
85055,114
79020,163
58216,28
57319,59
84011,232
44166,550
27571,130
3185,342
59247,1878
14644,178
67116,273
45322,52
36202,346
56261,164
25122,61
72114,140
43101,34
32448,66
74286,72
80501,53
17131,93
24142,69
57390,125
30114,136
2472,80
41261,48
59586,413
19054,37
53134,82
39286,118
79047,52
45121,30
51530,79
8028,80
56152,29
45100,1443
12084,141
22036,78
11308,119
12288,66
1146,137
44151,674
33070,48
54269,317
56212,102
51201,57
36207,28
91514,1408
70493,86
16339,50
67308,71
50112,88
54479,60
34324,185
50564,116
79179,79
29093,199
32079,53
56022,133
14737,115
10142,59
34101,360
91363,1217
44109,2793
27067,60
60636,475
77390,2456
50088,68
59531,109
30133,138
25411,136
16125,43
10422,41
72312,73
63397,39
50452,118
35281,1864
34210,223
11301,91
35133,80
22246,201
33291,92
69014,79
44025,163
50398,74
59335,233
38446,67
16072,57
60195,132
27539,112
13004,272
17139,51
86139,54
87036,56
87172,56
58155,88
34148,643
25418,156
30341,234
71541,45
49113,143
1261,92
17446,68
88245,180
21013,74
17241,50
84060,35
33498,142
72052,93
71504,56
67109,189
16342,44
5170,52
47097,90
26317,120
71573,80
46199,54
21689,71
55379,51
55058,95
21700,56
24247,60
8381,46
26298,47
84081,1018
82095,43
50393,62
34054,37
88390,29
67191,145
83049,205
24175,102
80213,141
28013,114
17453,98
89060,95
71243,82
66058,321
85177,73
24322,438
56148,205
95682,987
21114,50
68207,380
2338,53
4047,121
33300,27
53053,58
10049,89
60035,87
95120,722
24234,65
43218,93
17089,251
