insee,name,department_code,department_name,inhabitants,assigned_hospital_insee
1001,"L'Abergement-Clémenciat",1,"Ain",832,1136
1002,"L'Abergement-de-Varey",1,"Ain",267,1384
1004,"Ambérieu-en-Bugey",1,"Ain",14854,1384
1005,"Ambérieux-en-Dombes",1,"Ain",1897,1105
1006,"Ambléon",1,"Ain",113,-1
1007,"Ambronay",1,"Ain",2833,1151
1008,"Ambutrix",1,"Ain",768,1450
1009,"Andert-et-Condon",1,"Ain",322,1234
1010,"Anglefort",1,"Ain",1125,1453
1011,"Apremont",1,"Ain",383,1031
1012,"Aranc",1,"Ain",327,1206
1013,"Arandas",1,"Ain",141,1384
1014,"Arbent",1,"Ain",3409,1031
1015,"Arboys en Bugey",1,"Ain",667,73299
1016,"Arbigny",1,"Ain",459,71359
1017,"Argis",1,"Ain",432,1384
1019,"Armix",1,"Ain",26,-1
1021,"Ars-sur-Formans",1,"Ain",1498,1105
1022,"Artemare",1,"Ain",1177,1453
1023,"Asnières-sur-Saône",1,"Ain",77,1439
1024,"Attignat",1,"Ain",3336,1140
1025,"Bâgé-Dommartin",1,"Ain",4065,1439
1026,"Bâgé-le-Châtel",1,"Ain",979,1439
1027,"Balan",1,"Ain",2692,69280
1028,"Baneins",1,"Ain",621,1183
1029,"Beaupont",1,"Ain",700,1139
1030,"Beauregard",1,"Ain",830,69009
1031,"Bellignat",1,"Ain",3636,1031
1032,"Béligneux",1,"Ain",3434,69280
1033,"Valserhône",1,"Ain",16295,1257
1034,"Belley",1,"Ain",9239,1234
1035,"Belleydoux",1,"Ain",306,1257
1036,"Valromey-sur-Séran",1,"Ain",1342,1453
1037,"Bénonces",1,"Ain",310,38247
1038,"Bény",1,"Ain",764,1432
1040,"Béréziat",1,"Ain",480,1364
1041,"Bettant",1,"Ain",749,1384
1042,"Bey",1,"Ain",290,1136
1043,"Beynost",1,"Ain",4877,1275
1044,"Billiat",1,"Ain",626,74055
1045,"Birieux",1,"Ain",284,1045
1046,"Biziat",1,"Ain",904,1136
1047,"Blyes",1,"Ain",1292,1224
1049,"La Boisse",1,"Ain",3361,69280
1050,"Boissey",1,"Ain",386,1364
1051,"Bolozon",1,"Ain",95,1410
1052,"Bouligneux",1,"Ain",327,1085
1053,"Bourg-en-Bresse",1,"Ain",41525,1072
1054,"Bourg-Saint-Christophe",1,"Ain",1517,1450
1056,"Boyeux-Saint-Jérôme",1,"Ain",356,1206
1057,"Boz",1,"Ain",510,1439
1058,"Brégnier-Cordon",1,"Ain",818,73299
1060,"Brénod",1,"Ain",518,1206
1061,"Brens",1,"Ain",1129,73299
1062,"Bressolles",1,"Ain",978,69280
1063,"Brion",1,"Ain",576,1410
